country,total_minutes_played_u21
Albania,4104
Algeria,5085
Angola,4590
Argentina,24451
Armenia,1709
Australia,5894
Austria,5248
Belarus,1275
Belgium,113740
Bosnia-Herzegovina,981
Brazil,45201
Bulgaria,113
Burkina Faso,730
Cameroon,8880
Canada,970
Chile,3839
Colombia,5004
Comoros,44
Congo,360
Costa Rica,2852
Cote d'Ivoire,19067
Croatia,7769
Curacao,2125
Cyprus,366
Czech Republic,16
DR Congo,9717
Denmark,93141
Dominican Republic,23
Ecuador,11501
Egypt,1349
England,89555
Estonia,222
Faroe Islands,195
Finland,4946
France,146012
Gabon,341
Georgia,2844
Germany,61798
Ghana,20254
Greece,34339
Guinea,4471
Guinea-Bissau,3702
Hungary,9846
Iceland,7230
Iran,2303
Iraq,2169
Ireland,10067
Israel,2416
Italy,41727
Jamaica,1183
Japan,9445
"Korea, South",418
Kyrgyzstan,43
Lithuania,1780
Luxembourg,543
Mali,4030
Mexico,1739
Moldova,345
Montenegro,683
Morocco,31119
Netherlands,113372
Nigeria,7775
North Macedonia,280
Northern Ireland,13058
Norway,25285
Panama,21
Paraguay,2352
Poland,9276
Portugal,75724
Romania,1268
Russia,99010
Rwanda,1179
Saudi Arabia,1321
Scotland,35547
Senegal,23329
Serbia,7934
Sierra Leone,1149
Slovakia,2335
Slovenia,7246
South Africa,5
Spain,121643
Sweden,24558
Switzerland,337
Tajikistan,56
Tanzania,788
The Gambia,5397
Togo,2147
Tunisia,454
Turkey,1867
TÃ¼rkiye,62119
Ukraine,119759
United States,11423
Uruguay,3600
Uzbekistan,7836
Venezuela,1067
Wales,2268
Zimbabwe,152
